"platform","keyword","comment","label_emotion","","Label","","Total"
"TikTok","#newjeans","heyy suara minji cakep banget, bahkan suara asli mereka lebih bagus ya","1","","happiness","1","200"
"TikTok","#newjeans","iihh sedih banget sama tingkah laku member newjeans sekarang","2","","sadness","2","200"
"TikTok","#newjeans","kangen new jeans, sekarang liat mereka bawaanya ilfeel kenapa ya 😔","2","","fear","3","200"
"TikTok","#newjeans","pernah sesuka itu sama nj, lagunya selalu cepet nyantol di kepala, kangen bgt😭","2","","love","4","200"
"TikTok","#newjeans","Sayang banget group sebagus ini mnjadi najiez🫤","5","","anger","5","200"
"TikTok","#rosé","langsung nyantol jir lagunyaa😭🤍","4","","","",""
"Youtube","#heart2hearts","Gasabar melihat kesuksesan mereka semua","1","","Comments =","","1000"
"Youtube","#heart2hearts","Yuha as tumbnail iss supremacy~ cantik banget yuhaaa sayanggg~","4","","","",""
"Youtube","#heart2hearts","Suka banget liat rambut panjang Carmen😍🩷💕","4","","","",""
"Youtube","#heart2hearts","Gak sabar liat mreka saat di ruang rekaman lagu the chase❤","4","","","",""
"Youtube","#heart2hearts","Pokoknya support full for semua member, selalu nunggu setiap hari content dan gebrakan baru mereka 👍

","4","","","",""
"Youtube","#heart2hearts","Sumpahh weeee .. carmen cantik banget pas di bagian baju item celana item rambut panjangggggg 😭😭😭🥰💕😘","4","","","",""
"Youtube","#heart2hearts","Wih, banyak pake gen baru ya? Bagus bagus, vibesnya fresh 😮❤","1","","","",""
"Youtube","#heart2hearts","Sumpah dance practice nya dan lagunya bikin candu jadi ga bosen dengernya","1","","","",""
"Youtube","#heart2hearts","kreennn bgtt cok vibesnya mrip' girls generation","1","","","",""
"Youtube","#heart2hearts","Satu grup membernya visual semuaaa aduhh gemesss bgttt sihhh kaliannn😖🤏🏻🤍","4","","","",""
"Youtube","#heart2hearts","Ternyata Carmen kalok rambutnya begitu panjang dan diurai cuteeee sekaliiiii","4","","","",""
"Youtube","#heart2hearts","Sampe skrg kaya wow bgt gitu ke carmen. Karena bisa menembus tembok SM. Fighting Heart2Heart ❤❤❤❤","1","","","",""
"Youtube","#heart2hearts","Aslik ini keren banget dance performancenya....","1","","","",""
"Youtube","#heart2hearts","Carmen luar biasa 🎉 Indonesia bangga ada anak muda indo yg bisa masuk ke korea lagi ❤","1","","","",""
"Youtube","#heart2hearts","OMG bagus banget sumpah lagunya enak banget didengar","4","","","",""
"Youtube","#heart2hearts","Carmen long hair beuhhh damage nya","1","","","",""
"Youtube","#heart2hearts","Ninggalin jejak dulu.. Gas gas gass trendingin lg","1","","","",""
"Youtube","#heart2hearts","CARMENNNNNN CANTIKNYAAAAA❤❤❤❤❤❤🥰🥰🥰","4","","","",""
"Youtube","#heart2hearts","aku tidak bisa memilih bias ,kalian semua terbaik ❤","4","","","",""
"Youtube","#heart2hearts","Aslik ini keren banget dance performancenya....","1","","","",""
"Youtube","#heart2hearts","Lagunya enak didengar di telinga saya, seperti suasana pantasti 😊","1","","","",""
"Youtube","#heart2hearts","Buset keren banget sebelum ratusan ribu anjai","1","","","",""
"Youtube","#heart2hearts","vibe nya segerr bgttt, konsepnya sm bgt ❤️😭😭🫰🏻🫰🏻","1","","","",""
"Youtube","#heart2hearts","Gue ke sini krn Carmen..🎉semoga sukses karirnya..congrats","1","","","",""
"Youtube","#heart2hearts","Lagu yang tidak akan pernah bosan 😊❤","1","","","",""
"Youtube","#XODIAC","INI SIH KONSEPNYA BUKAN MV DEBUT, TAPI KAYAK COME BACK! KEREN BANGETTTTTT!!! SEMUA MEMBER NYA KEREN2!!!","1","","","",""
"Youtube","#XODIAC","TEPUK TANGANN SEBESARNYA BUAT XODIAC, SENENG BANGET BUAT KALIAN","1","","","",""
"Youtube","#XODIAC","Waw, suara mereka keren keren, vokal mereka unik. Visual, dance, rapnya jg keren, aku kira tadi ini MV comeback ternyata MV debut, parah sih kerennya","1","","","",""
"Youtube","#XODIAC","GILAAAAA BAGUS BANGET INI MAH BUKAN MV DEBUT, ini mah comeback, sukses terus buat kalian💐","1","","","",""
"Youtube","#XODIAC","MV DEBUT KEREN BANGET UDAH KAYAK COMEBACK AJAAAA!!! BENER BENER KERENNNN!!!!!","1","","","",""
"Youtube","#XODIAC","SELAMAT GUYS UDAH TRENDING #2 DI INDONESIA, SEMANGAT!!!","1","","","",""
"Youtube","#XODIAC","LAGUNYA KEREN, DANCENYA JUGA KEREN, VISUAL DAPET SEMUA, MV NYA JUGA BAGUSS , DAHLAHH XODIAC AUTO INTERNASIONAL, AMINNNN","1","","","",""
"Youtube","#XODIAC","Jujur, untuk ukuran debut, ini keren loh, lagunya enak, kualitas vokal bagus, dan mv nya juga keren.","1","","","",""
"Youtube","#XODIAC","Lagu debut diluar expektasi enak banget, boyband yang sangat menjanjikan 🔥","1","","","",""
"Youtube","#XODIAC","Yukkk up bareng2 yuk guysss. Ini sumpah visual sama lagunya enak banget. Terus agensinya juga tidak terlihat mengkhawatirkaaan. Zayyan real anak soleh indonesiaaa","1","","","",""
"Youtube","#XODIAC","MV DEBUT KAYA GINI???? KERENN BANGETT, YOU GUYS VERY TALENTED","1","","","",""
"Youtube","#XODIAC","HAIII, GILA SIH INI MV VIBES NYA MANTEP BANGET!! KUYLAH INI GRUP HARUS MAJU DAN SUKSES!!! AYOO SEMANGAATTT!!!","1","","","",""
"Youtube","#XODIAC","Lagunya terngiang-ngiang, keren bangettt, selamat atas debutnya Xodiac / love love hijau","1","","","",""
"Youtube","#XODIAC","Congratulations xodiac atas subcriber ke 100K dan view 734K dan like mv 142K tetap streaming guys fighting dan trending youtube Indonesia #5","4","","","",""
"Youtube","#XODIAC","Kereeennnn bgtt buat semua member selamat y atas debutnya smg lancarr sukses🎉","4","","","",""
"Tiktok","#Wonyoung","gue jadi wonyoung jg kaget sih ada orang tb tb mau sentuh","3","","","",""
"Tiktok","#Wonyoung","itu wonyoung kaget,emg klian pd gak kaget klo tb tb di pegang sm org gk di kenal?","3","","","",""
